241.08,72.197,11.255,1.3521,72.719,30.505,5.7468,0.56371,238.88,72.037,11.346,1.3532,232.75,69.482,11.046,1.3224,36987,10930,1712.3,194.48,243.5,65.391,10.952,1.2598,243.17,67.196,11.362,1.3346,246.37,69.183,11.135,1.3083,236.54,67.91,10.927,1.2917,230.81,69.054,10.926,1.3292,243.58,76.429,13.359,1.7377,242.55,72.708,12.304,1.5659,234.99,71.921,11.036,1.3115,240.04,73.789,12.194,1.5114
0.87981,0.70724,0.2623,0.064235,0.74654,0.50864,0.33232,0.09465,1.0297,0.77061,0.26343,0.070679,0.45545,0.43563,0.21781,0.078526,1.2602,1.2653,0.38752,0.10045,0.59055,0.69025,0.17744,0.050048,0.92104,1.371,0.2526,0.055695,1.0022,1.8018,0.26193,0.051236,0.92669,1.0621,0.2183,0.050024,0.89199,0.88516,0.28041,0.074551,0.72416,0.52887,0.17323,0.051725,0.33648,0.30266,0.10613,0.039854,0.99397,0.6598,0.49403,0.13945,0.9071,0.74546,0.2856,0.075072
2.1528,4.8303,0.48173,0.077969,1.5929,3.2052,0.51313,0.076747,1.7345,3.8242,0.48092,0.069875,1.3456,3.3617,0.48906,0.077845,1.9304,5.0096,0.72793,0.089904,2.0506,10.405,0.77681,0.075282,2.5156,20.516,1.0689,0.084656,2.2858,13.935,0.92179,0.08335,1.5742,6.3209,0.59316,0.073532,1.934,5.6856,0.72566,0.1204,1.1903,3.5714,0.51769,0.078353,1.6298,4.4229,0.54744,0.067232,2.0314,4.1971,0.56703,0.088192,1.713,4.3882,0.52663,0.091145
12.269,9.9588,1.7672,0.29489,2.9512,3.1318,0.49325,0.10864,1.2743,3.4959,0.52389,0.07588,1.6662,1.8658,0.38412,0.077249,5.7921,8.4252,1.2015,0.21579,1.4587,5.2935,0.49372,0.068945,1.9814,14.097,0.90193,0.074972,2.5723,16.121,0.99318,0.082789,9.0099,8.8258,1.4708,0.22563,1.6903,3.4398,1.3894,0.32936,2.5221,3.9744,0.60862,0.11694,3.8989,4.5703,0.63399,0.099428,3.946,6.0835,0.78975,0.1541,1.6969,4.4313,0.49912,0.088993
0.99059,0.53525,0.27043,0.070176,5.5122,1.3267,0.64263,0.14302,1.4159,0.67792,0.30015,0.071835,63.396,29.948,10.317,1.5502,0.92214,0.51552,0.45456,0.089011,1.6066,0.75984,0.312,0.062758,4.4246,2.0776,0.7413,0.13928,1.259,0.69326,0.27235,0.059403,1.2896,0.62167,0.27815,0.068719,1.109,0.64317,0.35818,0.093079,1.0557,0.54492,0.39919,0.10561,1.3775,0.65291,0.33801,0.079245,3.8838,1.154,0.58089,0.14193,2.3475,0.93805,0.54468,0.11972
2.9463,2.5451,0.74321,0.23226,0.66464,0.49682,0.15491,0.048237,0.82169,0.76169,0.18703,0.055227,0.68506,0.60064,0.16792,0.061484,0.71477,0.81399,0.76058,0.27987,0.89094,0.88028,0.2245,0.060885,1.5833,1.9333,0.29705,0.068487,0.92151,1.5434,0.20332,0.047154,1.1539,0.84668,0.28238,0.095112,1.0611,0.94696,0.8617,0.31388,0.72004,0.82573,0.26966,0.10356,0.93173,0.86574,0.19892,0.066364,0.70527,0.69275,0.22378,0.076533,1.3005,1.1505,0.32992,0.10726
1.7682,1.4157,0.54632,0.15221,0.76092,0.58145,0.2279,0.064221,0.48322,0.47018,0.15971,0.051144,0.66222,0.45394,0.1825,0.049391,1.6012,1.1985,0.76895,0.21377,0.76856,1.2328,0.27654,0.059441,1.0935,1.7645,0.29051,0.062329,0.75161,1.4052,0.23334,0.050363,0.77688,1.1122,0.33636,0.074685,1.2913,1.3012,0.86802,0.23212,0.69041,0.56737,0.25792,0.082743,0.67561,0.65508,0.18898,0.052605,1.7908,1.0008,0.39369,0.11114,1.0613,0.76924,0.29837,0.087844
1.9716,3.7425,0.39799,0.053003,2.332,4.7021,0.39958,0.066978,1.7652,3.7482,0.42764,0.048549,1.6819,4.0902,0.30706,0.049473,2.2745,6.5178,0.63996,0.11407,3.7789,11.977,0.85037,0.078156,4.461,19.945,1.1895,0.095548,3.6576,25.791,1.1559,0.076147,3.9708,16.03,0.94381,0.053246,2.2433,5.8408,0.52469,0.080952,4.5744,9.9242,0.91132,0.14595,2.0921,3.9151,0.43959,0.058401,2.1134,5.0781,0.7376,0.12247,2.1868,4.2197,0.41072,0.06463
1.892,0.74753,0.32913,0.094184,5.7604,1.7119,0.71734,0.22479,0.77418,0.30833,0.11656,0.042544,0.56708,0.28104,0.17898,0.074259,1.2442,0.48754,0.20717,0.06372,0.73388,0.40845,0.16198,0.044752,0.63266,0.35432,0.1472,0.048693,0.62097,0.3213,0.13159,0.042849,0.68996,0.35839,0.13771,0.041243,0.644,0.3987,0.1862,0.053139,0.67435,0.35622,0.16342,0.058298,0.98088,0.4207,0.16607,0.055945,1.4959,0.5946,0.21199,0.055245,0.75345,0.3071,0.11113,0.033793
0.81492,1.1,0.25952,0.05954,1.3737,1.5316,0.28732,0.081301,0.74534,0.76702,0.16493,0.044323,0.54565,0.77466,0.33675,0.11,1.4556,1.6178,0.34706,0.089469,0.87426,1.6226,0.31921,0.067961,1.0016,3.3019,0.34866,0.062426,0.79676,3.4357,0.27964,0.039058,0.80793,1.8708,0.24727,0.048009,0.94147,1.2861,0.43588,0.11018,0.60688,0.62137,0.24199,0.069205,1.8092,2.1849,0.45023,0.10639,0.93234,1.0476,0.25094,0.067729,0.87523,0.96121,0.22389,0.054017
